trio-time,0,0,1.7272000000000003,1.4193,1.2466000000000002,1.258,1.9498000000000002,3.2190000000000003,3.4076000000000004,6.6372,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,290592,292576,293304,297064,321280,359024,301432,390740,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,184016,194844,211428,252700,255436,262820,266404,267500,0,0,0,0,0,0,0,0,0,0,0
list_append,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,10,10,10,10,10,10,3,1,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,3,3,5,4,6,6,6,4,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.3894,0.32,0.4567,2.9467000000000003,27.2221,179.9115,129.9627,59.8968,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,1.1625,1.0547,1.049,3.9886,4.0672,4.4268,6.7821,11.5591,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,292708,292920,294016,301280,350368,419120,198488,71276,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,211424,212560,231632,235808,239868,239960,239576,241720,0,0,0,0,0,0,0,0,0,0,0
list_compress,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.1263,0.05960000000000001,4.34,123.05789999999999,327.4231,189.04729999999998,12.337700000000002,2.5205,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.10369999999999999,0.1086,0.4431,0.48800000000000004,1.4643000000000002,2.2677,2.8184,20.782100000000003,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,1,3,7,9,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,285488,284680,305652,328216,353076,310128,98548,35208,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,160976,159404,147084,128752,152368,154660,154776,163864,0,0,0,0,0,0,0,0,0,0,0
